orig_index,raw_name,disambiguated_entity,disambiguated_entity_id
0,a chris heath,a chris heath,1066385753
1,aaron adalja,aaron adalja,375375792
2,aaron bernstein,aaron bernstein,3446614910
3,aaron c davis,aaron c davis,199424035
4,aaron carroll,aaron carroll,387896481
5,aaron glatt,aaron glatt,2199605021
6,aaron milstone,aaron milstone,2408514349
7,aaron naeger,aaron naeger,1815177879
8,aaron pallas,aaron pallas,222194291
9,aaron reeves,aaron reeves,813583036
10,aaron rupar,aaron rupar,2578194842
11,aaron shakow,aaron shakow,497672211
12,aaron steckelberg,aaron steckelberg,2122394301
13,abbey hardy fairbanks,abbey hardy fairbanks,2037608169
16,abdu sharkawy,abdu sharkawy,2281101503
17,abdul el sayed,abdul el sayed,2320021325
18,abdul mabud chowdhury,abdul mabud chowdhury,3379078078
19,abdullah abdullah,abdullah abdullah,3126793834
20,abe,shinzo abe,142801779
21,abelardo avila,abelardo avila,702769743
22,abhijit duggal,abhijit duggal,1838309198
23,abi gewirtz,abi gewirtz,3927297710
24,abigail carlson,abigail carlson,607022103
25,abraar karan,abraar karan,3593859419
27,abraham l newman,abraham l newman,1375905867
29,adam bernheim,adam bernheim,2916331875
30,adam blake,adam blake,98505534
32,adam crum,adam crum,3016339394
34,adam finn,adam finn,3563296744
36,adam j levitin,adam j levitin,2060029691
37,adam jarrett,adam jarrett,2265604081
38,adam kamradt scott,adam kamradt scott,2389160407
39,adam kucharski,adam kucharski,1139164083
40,adam levitin,adam j levitin,2060029691
41,adam marshall,adam marshall,1555268631
42,adam rosh,adam rosh,1325319177
43,adam rubinstein,adam rubinstein,59034713
44,adam schechter,adam schechter,3591292980
45,adam schefter,adam schefter,1634545983
46,adam schiff,adam schiff,159752077
47,adam winkler,adam winkler,1396662471
48,adam wolanski,adam wolanski,997347617
50,adams dudley,adams dudley,576298294
51,adarsh pratap singh,adarsh pratap singh,190197837
53,adegoke oke,adegoke oke,2985552361
54,adhanom,tedros adhanom ghebreyesus,3199289592
55,adhanom ghebreyesus,tedros adhanom ghebreyesus,3199289592
56,adil el tayar,adil el tayar,1939715898
57,adisu kebede,adisu kebede,2183159460
58,adit ginde,adit ginde,2013657323
59,adnan munkarah,adnan munkarah,2921235134
61,adrian bangerter,adrian bangerter,1530348847
62,adrian hyzler,adrian hyzler,914193107
63,adriano decarli,adriano decarli,3756797925
67,afruz eslami,afruz eslami,1646578449
68,afshon ostovar,afshon ostovar,4134382570
69,agnes buzyn,agnes buzyn,3580938791
71,ahmed kazmi,ahmed kazmi,1583771642
72,ahmed rahman,ahmed rahman,3791039098
73,ai,ai fen,1774466715
74,ai fen,ai fen,1774466715
75,aileen marty,aileen marty,3282268929
76,aimee moulin,aimee moulin,3314682457
77,aimee sisson,aimee sisson,728381099
78,ainsley earhardt,ainsley earhardt,2242365873
79,ajay kirtane,ajay kirtane,1228439203
80,ajay kumar bharti,ajay kumar bharti,2805969500
81,aki hiro sato,aki hiro sato,3895509670
82,akiko iwasaki,akiko iwasaki,1543490278
83,al franken,al franken,2159166123
84,al gore,al gore,1444771038
85,al holland,al holland,3271094831
87,alaa swilam dubai,alaa swilam dubai,1034292013
88,alain gauthier,alain gauthier,2244368943
89,alan berger,alan berger,2550601537
90,alan blinder,alan blinder,3516750344
92,alan deardorff,alan v deardorff,1193530749
93,alan dershowitz,alan dershowitz,2425352896
94,alan erera,alan erera,1692060944
96,alan jones,alan jones,1412394461
97,alan kraut,alan kraut,99551127
98,alan lerner,alan lerner,1858048398
99,alan melnick,alan melnick,2091593229
100,alan rowan,alan rowan,4073020378
101,alan v deardorff,alan v deardorff,1193530749
102,alan wu,alan wu,2151606329
103,albert chan,albert chang,320580816
104,albert chang,albert chang,320580816
105,albert ko,albert ko,867242173
106,albert rizzo,albert rizzo,268729565
107,albert williams,albert williams,4115775934
108,alberto bisin,alberto bisin,1848974951
109,alberto dicochea,alberto dicochea,1814412918
110,alberto montaner,alberto montaner,4111465800
111,aldo munoz armenta,aldo munoz armenta,3991054616
112,alec watson,alec watson,3071153411
113,alejandro macias,alejandro macias,2694669070
114,alessandro colombo,alessandro colombo,4203863423
115,alessandro grimaldi,alessandro grimaldi,4033408743
116,alessandro vespignani,alessandro vespignani,2966813251
118,alex appolonia,alex appolonia,3199001060
119,alex azar,alex azar,4060563064
120,alex billioux,alex billioux,1265702889
121,alex brandon,alex brandon,477267419
122,alex brandonap,alex brandon,477267419
123,alex george,alex george,1667512276
124,alex greninger,alex greninger,1392124034
125,alex horton,alex horton,1227835446
126,alex hsu,alex hsu,2836106301
127,alex jahangir,alex jahangir,2366158024
128,alex marlow,alex marlow,1110666701
129,alex r cook,alex r cook,1553028667
130,alex scott,alex scott,3304391891
131,alex tabarrock,alex tabarrock,3665906593
132,alex tsai,alex tsai,3827310026
133,alex ward,alex ward,2979221966
134,alex wigglesworth,alex wigglesworth,858451265
135,alexa mieses,alexa mieses,1383177550
137,alexander billioux,alexander billioux,3111225005
138,alexander edwards,alexander edwards,3834164154
140,alexander halavais,alexander halavais,3846115740
141,alexander huang chieh cheng,alexander huang chieh cheng,4206947644
142,alexander isakov,alexander isakov,2145179784
143,alexander kekule,alexander kekule,2290220305
144,alexander l greninger,alexander l greninger,4036011426
145,alexander lukashenko,alexander lukashenko,3031503089
146,alexander morden,alexander morden,1033257890
147,alexander scott,nicole alexander scott,768141248
148,alexandra cirone,alexandra cirone,1171173565
149,alexandra phelan,alexandra phelan,311599243
150,alexandra sacks,alexandra sacks,3322467879
151,alexandre bayen,alexandre bayen,3354636126
152,alexandre white,alexandre white,3382277421
153,alexandria ocasio cortez,alexandria ocasio cortez,4165642176
154,alexei navalny,alexei navalny,830213940
156,alexia harrist,alexia harrist,1441198055
157,alexis mcgill johnson,alexis mcgill johnson,3628515059
159,alfa saadu,alfa saadu,1796851109
160,alfonso jimenez,alfonso jimenez,3042547016
164,alfred kim,alfred kim,322922341
165,alfred m wu,alfred m wu,761480792
166,alfredo garzino demo,alfredo garzino demo,3261184381
168,ali hassan,ali hassan,141023843
169,ali khan,ali khan,1980005122
170,ali mokdad,ali mokdad,1413935034
171,ali moktad,ali mokdad,1413935034
172,ali nouri,ali nouri,1397195506
173,ali yusuf,ali yusuf,1664547161
174,alice miranda ollstein,alice miranda ollstein,4048732922
175,alina alonso,alina alonso,944140160
176,aline holmes,aline holmes,2299569294
177,alison barnett,alison barnett,2747995895
178,alison bateman house,alison bateman house,236331020
179,alison holman,alison holman,804550097
180,alison pittard,alison pittard,2436269421
181,alison sinclair,alison sinclair,3675709051
182,alison tothy,alison tothy,2563381478
183,alison whelan,alison whelan,3127589447
184,aliyah cardoza,aliyah cardoza,3430562043
185,allan lichtman,allan lichtman,1102085860
186,allan randrup thomsen,allan randrup thomsen,2442374706
187,allen cheng,allen cheng,2610030272
188,allen pietrobon,allen pietrobon,2974157520
189,allen sills,allen sills,4135575591
190,allin khan,rosena allin khan,3697269960
191,allison aiello,allison aiello,2709732908
192,allison arwady,allison arwady,3141024557
193,allison brashear,allison brashear,3701582836
194,allison chamberlain,allison chamberlain,2366743674
195,allison k hoffman,allison k hoffman,2631754315
196,allison mcgeer,allison mcgeer,20416667
197,allon mordel,allon mordel,465880613
198,allyson pollock,allyson pollock,3539336786
199,alma moeller,alma moeller,3937579889
200,alonso aguirre,alonso aguirre,1839576080
201,alpesh amin,alpesh amin,1424932514
202,alpha fowler,alpha fowler,1580458197
203,alta charo,alta charo,3495883016
204,altaf saadi,altaf saadi,3428013639
205,alvaro alban,alvaro alban,808640331
206,alvin tillery jr,alvin tillery jr,15620163
208,amadou alpha sall,amadou alpha sall,355324245
209,aman pulungan,aman pulungan,1212638192
210,amanda mae simanek,amanda mae simanek,1557810799
211,amanda spray,amanda spray,3425592401
212,amanda williams,amanda williams,2707880514
213,amani ballour,amani ballour,2883394281
214,ambrose otau talisuna,ambrose otau talisuna,2671809043
215,ambrose talisuna,ambrose otau talisuna,2671809043
216,amesh a adalja,amesh a adalja,3193722531
217,amged el hawrani,amged el hawrani,3273342479
218,ami jones,ami jones,632496526
219,amir a afkhami,amir a afkhami,3207913593
220,amir ali,amir ali,4022917409
221,amir attaran,amir attaran,426340471
222,amir khan,amir khan,1148960819
223,amir yaron,amir yaron,2195753118
224,amira roess,amira roess,4158407603
225,amit uppal,amit uppal,2697570350
226,amitava banerjee,amitava banerjee,2796127330
